"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BUZZER1","1","HNB09A05","","","","mylib:BUZ-TH_BD9.6-P5.00-D0.7-FD","https://lcsc.com/product-detail/Buzzers_HNB09A05_C96493.html"
"C1,C3,C12,C15,C16","5","CC0603KRX7R9BB104","","","","mylib:C0603","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_100nF-104-10-50V_C14663.html"
"C2","1","CGA0805X5R106K500MT","","","","mylib:C0805","https://www.lcsc.com/datasheet/C6119889.pdf"
"C4","1","0603B471K500NT","","","","mylib:C0603","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_470pF-471-10-50V_C1620.html"
"C5","1","CL21B224KBFNNNE","","","","mylib:C0805","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL21B224KBFNNNE_220nF-224-10-50V_C5378.html"
"C6","1","0402CG220J500NT","","","","mylib:C0402","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_22pF-220-5-50V_C1555.html"
"C7,C9","2","CL31B105KBHNNNE","","","","mylib:C1206","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL31B105KBHNNNE_1uF-105-10-50V_C1848.html"
"C8,C10,C11,C13,C14","5","CL31A106KOHNNNE","","","","mylib:C1206","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL31A106KOHNNNE_10uF-106-10-16V_C1849.html"
"CN1","1","XT30UPB-M","","","","mylib:CONN-TH_XT30UPB-M","https://lcsc.com/product-detail/Power-Connectors_Changzhou-Amass-Elec-XT30UPB-M_C428721.html"
"D1,D2","2","SS34_C8678","","","","mylib:SMA_L4.3-W2.6-LS5.2-RD","https://lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_SS34_C8678.html"
"D3","1","USBLC6-2SC6","","","","mylib:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","https://lcsc.com/product-detail/Diodes-ESD_STMicroelectronics_USBLC6-2SC6_USBLC6-2SC6_C7519.html"
"J1,J2","2","motor g20 encoder","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"L1","1","SMDRI127-330MT","","","","mylib:IND-SMD_L12.3-W12.3","https://lcsc.com/product-detail/Power-Inductors_33uH-20_C9400.html"
"LED1,LED4,LED5,LED6","4","KT-0603R","","","","mylib:LED-SMD_L1.6-W0.8-R-RD","https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_Red-LED-0603_C2286.html"
"LED2","1","17-21SUYC/TR8","","","","mylib:LED0805-R-RD","https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_Yellow-light-0805-Highlighted_C2296.html"
"LED3","1","0805G","","","","mylib:LED0805-R-RD","https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_Green-0805-Highlighted_C2297.html"
"P1","1","WJ128V-5.0-2P","","","","mylib:CONN-TH_2P-P5.00_WJ128V-5.0-2P","https://lcsc.com/product-detail/Terminal-Blocks_WJ128V-5-0-2P_C8269.html"
"Q1","1","AO4407A_C2841482","","","","mylib:SOP-8_L5.0-W4.0-P1.27-LS6.0-BL","https://www.lcsc.com/datasheet/C2841482.pdf"
"Q2","1","2N7002","","","","mylib:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","https://lcsc.com/product-detail/MOSFET_2N7002-7002_C8545.html"
"R1,R4,R7","3","0805W8F680JT5E","","","","mylib:R0805","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount-UniOhm_68R-68R0-1_C17802.html"
"R2,R3,R5,R6,R8,R9,R19,R20,R23,R24","10","0805W8F1001T5E","","","","mylib:R0805","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount-UniOhm_1KR-1001-1_C17513.html"
"R10,R11","2","0805W8F2001T5E","","","","mylib:R0805","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount-UniOhm_2KR-2001-1_C17604.html"
"R12","1","0805W8F1333T5E","","","","mylib:R0805","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount-UniOhm_133KR-1333-1_C17452.html"
"R13,R14,R16,R26,R27,R28,R29,R31,R32","9","0805W8F1002T5E","","","","mylib:R0805","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount-UniOhm_10KR-1002-1_C17414.html"
"R15,R25","2","0805W8F1200T5E","","","","mylib:R0805","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount-UniOhm_120R-1200-1_C17437.html"
"R17","1","0805W8F2492T5E","","","","mylib:R0805","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount-UniOhm_24-9KR-2492-1_C17571.html"
"R18","1","25121WF100LT4E","","","","mylib:R2512","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount-UniOhm_0-1R-R100-1_C25466.html"
"R21,R22","2","0805W8F5101T5E","","","","mylib:R0805","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount-UniOhm_5-1KR-5101-1_C27834.html"
"SW1","1","RESET","","","","mylib:SW-SMD_L3.9-W3.0-P4.45","https://lcsc.com/product-detail/Tactile-Switches_XUNPU-TS-1088-AR02016_C720477.html"
"SW2","1","FLASH","","","","mylib:SW-SMD_L3.9-W3.0-P4.45","https://lcsc.com/product-detail/Tactile-Switches_XUNPU-TS-1088-AR02016_C720477.html"
"U1,U2,U3,U4,U5,U6","6","ITR8307/S18/TR8","","","","mylib:OPTO-SMD_ITR8307-S18-TR8-B","https://lcsc.com/product-detail/Photo-Interrupter_ITR8307-S18-TR8-B_C115037.html"
"U7","1","CN3722","","","","mylib:TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL","https://lcsc.com/product-detail/PMIC-Battery-Management_CN3722_C77905.html"
"U8,U9","2","AS4950","","","","mylib:ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP","https://www.lcsc.com/datasheet/C2929412.pdf"
"U10","1","AMS1117-5.0","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U11","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U12","1","ESP32-S3-WROOM-1","","","","mylib:WIRELM-SMD_ESP32-S3-WROOM-1","https://www.lcsc.com/datasheet/C2913202.pdf"
"USB1","1","TYPE-C 16PIN 2MD","","","","mylib:USB-C-SMD_TYPE-C-16PIN-2MD-073","https://www.lcsc.com/datasheet/C2765186.pdf"
